page,xmin,ymin,width,height
4.pdf,64.8,220.3,487.4,414.7
5.pdf,36.7,149,490.3,585.4
6.pdf,67,127.4,492.5,548.6
7.pdf,43.2,148.3,483.1,473.8
8.pdf,46.8,170.6,525.6,578.9
9.pdf,38.2,140.4,491,589
10.pdf,68.4,138.2,484.6,559.4
17.pdf,41,300.2,485.3,272.2
19.pdf,40.3,154.8,486,279.4
20.pdf,64.8,103.7,487.4,331.9
20.pdf,70.6,455.8,482.4,290.9
23.pdf,45.4,171.4,477.4,419.8
28.pdf,67,167.8,488.2,421.9
29.pdf,45.4,347.8,486,219.6
36.pdf,74.2,181.4,476.6,213.8
36.pdf,74.2,450,475.2,126
37.pdf,42.5,567.4,481.7,112.3
38.pdf,72.7,135.4,481.7,113
38.pdf,70.6,537.1,481.7,79.9
39.pdf,44.6,563.8,477.4,80.6
42.pdf,71.3,530.6,481,127.4
45.pdf,38.9,364.3,483.8,151.9
46.pdf,72.7,189.4,478.8,135.4
46.pdf,72.7,366.5,478.8,110.2
47.pdf,41,326.2,481.7,168.5
47.pdf,41,543.6,485.3,71.3
48.pdf,72.7,396,486,79.9
52.pdf,69.1,118.1,483.8,571
53.pdf,45.4,118.8,476.6,380.2
54.pdf,69.1,135.4,483.8,588.2
55.pdf,45.4,112.3,479.5,411.8
58.pdf,61.9,163.4,497.5,488.2
59.pdf,42.5,319,475.2,287.3
60.pdf,67,211,483.8,141.1
61.pdf,45.4,155.5,475.9,142.6
61.pdf,45.4,332.6,473.8,102.2
63.pdf,45.4,248.4,473.8,132.5
63.pdf,45.4,429.8,475.2,133.2
63.pdf,45.4,633.6,472.3,121
64.pdf,70.6,121,484.6,109.4
65.pdf,43.2,481,485.3,115.2
66.pdf,72.7,159.1,479.5,144.7
66.pdf,72.7,416.2,478.1,108.7
68.pdf,70.6,131.8,482.4,316.8
72.pdf,69.1,514.1,483.1,133.9
73.pdf,38.9,129.6,483.8,285.1
73.pdf,40.3,457.9,483.8,306.7
74.pdf,72.7,164.2,484.6,211
74.pdf,72.7,422.6,477.4,219.6
75.pdf,42.5,357.8,481.7,162
76.pdf,72.7,401.8,476.6,98.6
76.pdf,72.7,569.5,476.6,107.3
78.pdf,67,231.1,487.4,362.2
79.pdf,41,136.1,486,120.2
82.pdf,69.1,133.9,483.8,70.6
82.pdf,68.4,250.6,486.7,144
82.pdf,67,472.3,487.4,218.9
83.pdf,45.4,187.2,475.9,50.4
85.pdf,45.4,155.5,475.2,394.6
86.pdf,72.7,257,477.4,113
86.pdf,72.7,437,477.4,115.2
86.pdf,72.7,580.3,477.4,113
87.pdf,41,128.9,483.1,207.4
87.pdf,42.5,407.5,481.7,127.4
87.pdf,38.2,554.4,486.7,123.1
88.pdf,72.7,338.4,478.1,152.6
88.pdf,72.7,531.4,477.4,227.5
90.pdf,70.6,177.1,482.4,263.5
91.pdf,42.5,190.1,483.8,149
91.pdf,43.9,537.1,483.8,137.5
92.pdf,69.1,168.5,483.8,135.4
92.pdf,71.3,344.9,481.7,75.6
92.pdf,71.3,483.8,483.8,198.7
93.pdf,44.6,158.4,479.5,406.8
94.pdf,71.3,168.5,481.7,79.2
94.pdf,70.6,290.9,473,185.8
95.pdf,43.9,212.4,478.1,56.9
96.pdf,67,237.6,483.8,67
96.pdf,70.6,516.2,479.5,92.9
97.pdf,45.4,175.7,477.4,236.2
97.pdf,45.4,529,483.8,148.3
98.pdf,69.1,187.2,483.8,321.8
99.pdf,30.2,125.3,496.8,349.2
100.pdf,67,111.6,485.3,376.6
101.pdf,43.2,140.4,483.1,85.7
101.pdf,41,265,486,102.2
101.pdf,38.2,406.1,491,103
102.pdf,64.8,168.5,489.6,138.2
103.pdf,38.2,208.8,488.2,162.7
110.pdf,70.2,483.8,506.2,138.2
111.pdf,42.5,131.8,504,211.7
111.pdf,41,385.9,509.8,130.3
111.pdf,43.2,540,506.9,207.4
